City_ID,City,Country,Max Temp,Date,Lat,Lng,Hotel Name
93,Nuuk,GL,60.8,8/28/2020 22:58,64.18,-51.72,Vandrehuset
94,Kaitangata,NZ,55.0,8/28/2020 22:57,-46.28,169.85,Kaitangata Motor Camp
95,Vila Franca Do Campo,PT,75.2,8/28/2020 22:58,37.72,-25.43,Pestana Bahia Praia
96,Hami,CN,65.53,8/28/2020 22:58,42.8,93.45,Laoyutang Resort
97,La Victoria,VE,86.0,8/28/2020 22:58,10.22,-67.33,Hotel Hacienda El Recreo
98,Aljezur,PT,61.0,8/28/2020 22:58,37.32,-8.8,Amazigh Hostel
99,Yellowknife,CA,54.0,8/28/2020 22:57,62.46,-114.35,The Explorer Hotel
100,Touros,BR,77.0,8/28/2020 22:58,-5.2,-35.46,INN NEW HORIZON
101,Shirgaon,IN,78.96,8/28/2020 22:58,19.7,72.7,LAXMI GARDEN BEACH RESORT
102,Morondava,MG,70.99,8/28/2020 22:58,-20.28,44.28,La Case Bambou
103,Saurimo,AO,67.95,8/28/2020 22:58,-9.66,20.39,Hotel Kawissa Saurimo
104,Vaini,TO,78.8,8/28/2020 22:57,-21.2,-175.2,Keleti Beach Resort
105,Ipora,BR,75.33,8/28/2020 22:58,-16.44,-51.12,Oásis Motel
106,Prince Rupert,CA,59.0,8/28/2020 22:58,54.32,-130.32,Crest Hotel
107,Tuktoyaktuk,CA,51.8,8/28/2020 22:58,69.45,-133.04,End of The Road Ltd.
108,Grindavik,IS,48.2,8/28/2020 22:58,63.84,-22.43,Northern Light Inn & Max's Restaurant
109,Punta Arenas,CL,32.0,8/28/2020 22:54,-53.15,-70.92,Hotel Dreams Del Estrecho
110,Beloha,MG,71.94,8/28/2020 22:58,-25.17,45.05,
111,Codrington,AU,50.14,8/28/2020 22:58,-38.27,141.97,Codrington Gardens Bed And Breakfast
112,Wilmington,US,89.6,8/28/2020 22:56,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
113,Aykhal,RU,48.2,8/28/2020 22:58,66.0,111.5,
114,Pumiao,CN,77.0,8/28/2020 22:58,22.75,108.48,Mushang Boutique Hotel
115,Havre-Saint-Pierre,CA,59.0,8/28/2020 22:58,50.23,-63.6,Auberge Niapiskau
116,Dingle,PH,78.51,8/28/2020 22:55,11.0,122.67,Camp Pasica
117,Constitucion,CL,50.18,8/28/2020 22:58,-35.33,-72.42,Hotel Boutique Las Azucenas
118,Sao Filipe,CV,80.4,8/28/2020 22:56,14.9,-24.5,Tortuga B&B
119,Jiaojiang,CN,82.0,8/28/2020 22:58,28.68,121.44,Fangyuan Hotel
120,Ulladulla,AU,53.6,8/28/2020 22:58,-35.35,150.47,Sandpiper Motel
121,Mpika,ZM,64.72,8/28/2020 22:58,-11.83,31.45,Melodies Lodge
122,Babu,CN,77.16,8/28/2020 22:58,24.42,111.52,IU Hotel Hezhou Bus Terminal
123,Sumbe,AO,69.08,8/28/2020 22:57,-11.21,13.84,Hotel Ritz Sumbe
124,Narsaq,GL,60.8,8/28/2020 22:56,60.92,-46.05,Hotel Narsaq
125,Atuona,PF,77.86,8/28/2020 22:58,-9.8,-139.03,Villa Enata
126,Havoysund,NO,46.4,8/28/2020 22:58,71.0,24.66,Arctic View Glamping & Restaurant
127,Nome,US,57.99,8/28/2020 22:58,64.5,-165.41,Dredge 7 Inn
128,Bluff,NZ,45.0,8/28/2020 22:58,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
129,Monster,NL,59.0,8/28/2020 22:58,52.03,4.17,Vakantiepark Kijkduin
130,Cairns,AU,71.6,8/28/2020 22:58,-16.92,145.77,Mantra Trilogy Cairns
131,Bonthe,SL,76.5,8/28/2020 22:58,7.53,-12.51,Bonthe Holiday Village
132,Breclav,CZ,73.0,8/28/2020 22:58,48.76,16.88,Hotel Rose
133,Talnakh,RU,48.2,8/28/2020 22:57,69.49,88.4,Talnakh Hotel
134,Bakchar,RU,51.84,8/28/2020 22:58,57.02,82.07,
135,Elat,IL,89.6,8/28/2020 22:58,29.56,34.95,Club Hotel Eilat
136,Muisne,EC,78.8,8/28/2020 22:58,0.6,-80.03,Quinta Samay
137,Upernavik,GL,40.35,8/28/2020 22:58,72.79,-56.15,Gina's Guesthouse - Upernavik
138,Banda Aceh,ID,79.95,8/28/2020 22:58,5.56,95.32,OYO 884 Rumoh PMI Hotel
139,Alyangula,AU,73.4,8/28/2020 22:58,-13.85,136.42,Groote Eylandt Lodge
140,Kodiak,US,64.4,8/28/2020 22:58,57.79,-152.41,Best Western Kodiak Inn and Convention Center
141,Listvyagi,RU,50.68,8/28/2020 22:58,53.68,86.95,"Lesnaya Skazka, Gostinichno-Bannyy Kompleks"
142,Usoke,TZ,73.4,8/28/2020 22:58,-5.17,32.35,
143,Bayir,TR,69.8,8/28/2020 22:58,37.27,28.22,Buban Otel
144,Half Moon Bay,US,75.99,8/28/2020 22:56,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
145,Beringovskiy,RU,50.9,8/28/2020 22:58,63.05,179.32,Beringgorski
